,anime_id,Name,Score,Genres,Synopsis,Type,Episodes,Aired,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Start,End
2456,4550,Hyakko,7.24,"['Comedy', 'Slice of Life']","On their first day of high school shy Ayumi Nonomura and taciturn Tatsuki Iizuka become lost on the immense campus of Kamizono Academy. An irresistible force of nature named Torako Kageyama accompanied by her best friend Suzume Saotome appears in front of them. Led, sometimes pushed, by Torako, the girls and their classmates work through problems of school, home and adolescence.",TV,13.0,"Oct 2, 2008 to Dec 25, 2008",Finished Airing,Flex Comix,Nozomi Entertainment,Nippon Animation,Manga,24,PG-13 - Teens 13 or older,2848.0,3114,107,19952.0,44093,2008-10-02,2008-12-25
2469,4578,Time Bokan Oudou Fukko,5.99,"['Action', 'Comedy', 'Sci-Fi']","A laugh-out-loud hilarious adventure from the studio behind Gatchaman and Speed Racer!

Who has what it takes to be the baddest of the bad? It's evil versus evil as teams of bad guys compete to be the meanest villains ever! Watch and laugh as the Dorombo Gang and their Kitchen Robot take on the worst of the worst in a wacky race to be the greatest villains in anime history! The only force that stands in their way are the superheroes of anime. Will the Gatchaman ninja arrive in time to save the day?

(Source: AniDB)",OVA,2.0,"Nov 26, 1993 to Jan 1, 1994",Finished Airing,Victor Entertainment,Sentai Filmworks,Tatsunoko Production,Unknown,30,R+ - Mild Nudity,8862.0,10417,1,591.0,2175,1993-11-26,1994-01-01
2470,4581,Shikabane Hime: Aka,7.19,"['Action', 'Horror', 'Supernatural']","Living at a shrine with other orphans, Ouri Kagami is no stranger to corpses. But when he sees the patron of his orphanage, Keisei Tagami, seemingly revive the scarred corpse of schoolgirl Makina Hoshimura, he cannot help but feel incredibly shocked.

Intrigued by the mysterious circumstances surrounding Makina, he learns that she is a Shikabane Hime—an undead being tasked with eliminating others like her who pose a threat to society. As Ouri goes about his daily life, his inexplicable run-ins with her are shrouded in abnormality. But as each encounter grows more intense, the two are brought closer together, and it may be their intertwining fates that hold the key to unveiling the secrets behind the world of Shikabanes.",TV,13.0,"Oct 2, 2008 to Dec 25, 2008",Finished Airing,"Square Enix, Starchild Records",Funimation,"Gainax, feel.",Manga,24,R - 17+ (violence & profanity),3118.0,1697,239,44362.0,120624,2008-10-02,2008-12-25
2486,4618,RideBack,7.27,"['Action', 'Drama', 'Sci-Fi']","In the future, an organization called the GGP has taken control of the world. Rin Ogata was a promising up-and-coming ballet dancer, but suffered a serious injury while dancing and decided to quit. Years later in college, she comes across a club building and soon finds herself intrigued by a transforming motorcycle-like robotic vehicle called a ""Rideback"". She soon finds that her unique ballet skills with balance and finesse make her a born natural on a Rideback. However, those same skills also get her into serious trouble with the government.

(Source: Wikipedia)",TV,12.0,"Jan 12, 2009 to Mar 30, 2009",Finished Airing,Geneon Universal Entertainment,Funimation,Madhouse,Manga,24,PG-13 - Teens 13 or older,2670.0,3002,130,20747.0,46988,2009-01-12,2009-03-30
2492,4654,Toaru Majutsu no Index,7.36,"['Action', 'Fantasy', 'Sci-Fi']","Academy City, Japan, is at the forefront of science. Besides being 30 years ahead of the world technologically, more than three-fourths of this peculiar city's population consists of students developing their psychic abilities as espers in various institutions. Among these students is Touma Kamijou, a high school boy with the lowest psychic rank of zero, but with a mysterious power no scientist can understand: ""Imagine Breaker,"" which allows him to negate other supernatural abilities.
 
This, however, doesn't affect Kamijou's life in the least as he plays his role as a regular teenager; that is, until he meets the strange Index Librorum Prohibitorum, a young girl who has memorized the entirety of the forbidden grimoires, and now a dangerous organization is hunting Index down. With several magicians looking to harm the girl, Kamijou will defend his new companion at all costs as he discovers a strange new realm of the supernatural.",TV,24.0,"Oct 5, 2008 to Mar 19, 2009",Finished Airing,"Geneon Universal Entertainment, Square Enix, AT-X, ASCII Media Works, Kadokawa Contents Gate",Funimation,J.C.Staff,Light novel,23,R - 17+ (violence & profanity),2239.0,215,5455,377460.0,789163,2008-10-05,2009-03-19
2504,4719,Queen's Blade: Rurou no Senshi,6.13,"['Action', 'Adventure', 'Fantasy', 'Ecchi']","In a land where a queen is chosen every few years solely by winning a tournament, there can be no short supply of formidable opponents. For one woman warrior however, an early defeat clearly shows her that she is lacking in experience though she may be bountiful in body.

Fortunately, while defeat could spell one's doom, her life is saved by a powerful stranger. But unfortunately for this savior, less-than-pure motives and shrewd family members mean her reward is a prison cell. Her release is prompt when the unseasoned warrior she saved, tired of her current lifestyle of nobility, sets off to prove herself.

(Source: Media Blasters)",TV,12.0,"Apr 2, 2009 to Jun 18, 2009",Finished Airing,"Genco, Media Factory, AT-X, Magic Capsule, Hobby Japan, Toranoana",Media Blasters,Arms,Other,24,R+ - Mild Nudity,8208.0,1979,196,35851.0,96669,2009-04-02,2009-06-18
2506,4722,Skip Beat!,8.08,"['Comedy', 'Drama', 'Romance']","Day in and day out, Kyouko Mogami works multiple jobs to support her childhood friend, Shoutarou ""Shou"" Fuwa, in his rise to stardom as an idol. She never complains about her way of life, as she is deeply infatuated with Shou and would go to the ends of the world for him. However, her heart is broken when she overhears Shou talk about how he views her as nothing more than a maid he cares little for. 

Angered over being used, Kyouko flies into a rage and swears to get revenge on her former crush by entering the world of showbiz to surpass him. Joining the relentless and unforgiving entertainment industry proves to be a challenge, as she continuously meets people who force her out of her comfort zone. But for the sake of vengeance, Kyouko is determined to push herself and rise to the top.",TV,25.0,"Oct 6, 2008 to Mar 30, 2009",Finished Airing,"Sotsu, Pony Canyon, Hakusensha, TV Tokyo Music",Pied Piper,Hal Film Maker,Manga,24,PG-13 - Teens 13 or older,485.0,855,5118,137088.0,261344,2008-10-06,2009-03-30
2508,4725,Ga-Rei: Zero,7.58,"['Action', 'Supernatural', 'Suspense']","In Japan, there exists a government agency known as the Supernatural Disaster Countermeasures Division (SDCD), whose duty is to protect the citizens from creatures unseen. They are able to dispatch these monsters swiftly and without alerting the general public. But currently, they face a different challenge: the betrayal of one of their own.

After the death of her mother several years ago, Kagura Tsuchimiya has been fostered by the Isayama family and forms a close sister-like bond with their daughter Yomi. The two become inseparable, and together they work for the SDCD as highly skilled exorcists. However, as the stress and consequences of their sacred duty weigh on them both, and family politics come into play, Kagura and Yomi begin to slowly drift apart. One of them grows earnestly into her role as an exorcist, and the other heads down a dark path from which there may be no redemption.",TV,12.0,"Oct 6, 2008 to Dec 22, 2008",Finished Airing,"Lantis, Kadokawa Shoten, Rakuonsha, Kadokawa Pictures Japan, KlockWorx",Funimation,"AIC Spirits, asread.",Manga,23,R - 17+ (violence & profanity),1438.0,961,2837,94280.0,233605,2008-10-06,2008-12-22
2509,4726,Druaga no Tou: The Sword of Uruk,7.19,"['Adventure', 'Fantasy']","With broken spirits and enigmatic questions that hold no answers lingering, Jil is still trying to figure everything out. Then, a mysterious girl named Kai appears before him and says: ""Take me to the top of the tower.""

Kai's request shrouded in ambiguity, Jil will have another chance to work towards completing his destiny and ascend the Tower. With his hopes and aspirations seemingly slipping out of his hands, Jil must rise to the challenge once again on this never-ending adventure.

(Source: Crunchyroll)",TV,12.0,"Jan 9, 2009 to Mar 27, 2009",Finished Airing,Sotsu Music Publishing,Funimation,Gonzo,Game,24,PG-13 - Teens 13 or older,3086.0,2339,85,38013.0,73754,2009-01-09,2009-03-27
2515,4744,Akaneiro ni Somaru Saka,6.39,"['Comedy', 'Romance', 'Ecchi']","Yuuhi Katagiri is not your average girl – she's the treasured daughter of the Katagiri family. She's generally kept under strict supervision, but one day ends up walking home from school on her own. This proves to be instant trouble when a group of boys start harassing her. Junichi Nagase, who was on his way home from a convenience store, sees the troubled Yuuhi and comes to her rescue. One of the boys recognized Junichi as the famed ""Geno Killer"" and they dash off. Yuuhi thanks Junichi and when she asked for his name, he just waves and leaves. Of course, he regrets trying to act cool in front of the beautiful girl right away, wishing he asked her name.

The following day, a transfer student joins Junichi's class – it's Yuuhi! She calls Junichi out as the ""Geno Killer"", the only name she remembers him by, and rumors about the two spread quickly. Matters are made worse when Junichi kisses Yuuhi due to a misunderstanding. And on top of all that, it turns out that Junichi is Yuuhi's fiancé!

Yuuhi doesn't see Junichi as someone worthy. But, she could not go against her father's wishes. The only thing that Yuuhi can do is live with Junichi in the house he shares with his little sister Minato, and prove that Junichi is not worthy to be her husband. Will she succeed in proving his unworthiness, or will she fall in love on the way?",TV,12.0,"Oct 3, 2008 to Dec 19, 2008",Finished Airing,"Marvelous, feng, Delfi Sound, Pony Canyon Enterprise",Sentai Filmworks,TNK,Visual novel,25,R+ - Mild Nudity,6906.0,1436,245,80352.0,149334,2008-10-03,2008-12-19
2516,4752,Vampire Knight Guilty,7.1,"['Drama', 'Mystery', 'Romance', 'Supernatural']","When the missing Zero Kiryuu returns to Cross Academy, Yuuki Cross is relieved to see him safe, but finds that Zero has changed in more ways than one. As a result of choices he made, Zero is plagued by visions, and he seeks to uncover the reason behind them—unaware that the answers may be much closer than he thinks.

Soon Yuuki also begins to be tormented by ghastly hallucinations, and she seeks an explanation about her shrouded past from the only one who can provide clarity: Pureblood vampire Kaname Kuran, who is closest to her heart. But what will happen when the truth is finally revealed?",TV,13.0,"Oct 7, 2008 to Dec 30, 2008",Finished Airing,"TV Tokyo, Aniplex",VIZ Media,Studio Deen,Manga,24,PG-13 - Teens 13 or older,3518.0,606,2550,219677.0,358820,2008-10-07,2008-12-30
2534,4814,Junjou Romantica 2,7.71,"['Boys Love', 'Comedy', 'Drama', 'Romance']",The second part of Junjou Romantica continuing the story.,TV,12.0,"Oct 12, 2008 to Dec 28, 2008",Finished Airing,"Frontier Works, Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, Memory-Tech, Romantica club !!",Nozomi Entertainment,Studio Deen,Manga,24,PG-13 - Teens 13 or older,1117.0,1260,962,105005.0,176245,2008-10-12,2008-12-28
2560,4884,Tales of the Abyss,7.28,"['Adventure', 'Drama', 'Fantasy']","The world of Auldrant is bound by the Score, a series of prophecies from centuries past that dictate the world's future. It is considered an absolute fate that everyone lives by—even people whose actions lead to bloodshed and tears. Using magical abilities known as the Fonic Arts, a war between the nation of Kimlasca-Lanvaldear and the Malkuth Empire is waged in hopes of bringing the Score's foreseen utopia to life.

Tales of the Abyss follows Luke von Fabre, who spends his days locked away in his manor after being kidnapped and losing memories as a child. One day, while honing his swordsmanship, a woman named Tear attempts to assassinate his master. Luke defends him, but the clash results in the two being teleported to a distant land. Luke and Tear’s journey back quickly escalates into a quest that will either free the world from the Score's chains or destroy it completely.",TV,26.0,"Oct 3, 2008 to Mar 27, 2009",Finished Airing,"Bandai Visual, Animax, Bandai Namco Games, Atelier Musa","Funimation, Bandai Entertainment",Sunrise,Game,24,PG-13 - Teens 13 or older,2598.0,1690,542,49466.0,121044,2008-10-03,2009-03-27
